,RunId,iteration,Step,penalty_mul,penalty_max,coop,Lifecycle_Diff,Avg_Priv_Age,Avg_Disp_Age
0,0,0,383,1.05,100.0,True,6.565852419596608,8.041564583214631,7.51356732045421
1,1,0,93,1.05,100.0,False,9.053086108241947,7.042156796083498,6.404624277456647
2,2,0,922,1.05,200.0,True,8.76295617020605,15.978953752161901,14.578725038402458
3,3,0,232,1.05,200.0,False,5.594101065395007,13.031963822297593,12.302942595272551
4,4,0,306,1.1,100.0,True,9.883861187916521,8.044160242933893,7.249086610788739
5,5,0,83,1.1,100.0,False,8.989917838280148,7.04853752430845,6.4148797920727745
6,6,0,586,1.1,200.0,True,12.54762006089505,15.915425463022924,13.918418344847861
7,7,0,261,1.1,200.0,False,4.978748469291217,13.026332718617319,12.377784377784378
8,8,0,207,1.25,100.0,True,17.365570139871,8.035777907267127,6.640319258496396
9,9,0,81,1.25,100.0,False,9.596830796162426,7.051618727175741,6.374886809538183
10,10,0,179,1.25,200.0,True,21.585863159477636,15.849813355454168,12.428494333513221
11,11,0,191,1.25,200.0,False,12.8917609816517,13.03926414917248,11.358273381294964
12,12,0,63,1.5,100.0,True,28.715543475147697,8.06580320422319,5.749663978494624
13,13,0,55,1.5,100.0,False,23.152883413687363,7.079644401144736,5.44050258684405
14,14,0,147,1.5,200.0,True,35.019897588902836,15.8667094988633,10.310204081632653
15,15,0,127,1.5,200.0,False,27.903609637671302,13.059211766924383,9.415220293724966
16,16,0,30,2.0,100.0,True,41.23284899506506,8.08704004728831,4.752523036419483
17,17,0,40,2.0,100.0,False,37.08792116269787,7.107875521557719,4.471712251779692
18,18,0,62,2.0,200.0,True,47.64607912073109,15.648569527611444,8.19263970922308
19,19,0,88,2.0,200.0,False,42.69075039528225,13.086892694861936,7.5
20,20,1,600,1.05,100.0,True,6.392586541653367,8.052439855496385,7.537680669019191
21,21,1,66,1.05,100.0,False,8.807319035727923,7.06368426385652,6.441563055062167
22,22,1,1000,1.05,200.0,True,7.188166660322482,15.937407054069979,14.791799673689438
23,23,1,167,1.05,200.0,False,4.976453584501472,13.045923803225689,12.396699460488733
24,24,1,234,1.1,100.0,True,10.287984032167241,8.045889851796032,7.218129988597491
25,25,1,92,1.1,100.0,False,8.83727775517813,7.0422859464400585,6.419939577039275
26,26,1,488,1.1,200.0,True,13.41911865779355,15.894137775012725,13.76128456735058
27,27,1,140,1.1,200.0,False,4.727793918932289,13.055702917771884,12.4384561891516
28,28,1,144,1.25,100.0,True,17.720594401033583,8.036640459253713,6.6125
29,29,1,65,1.25,100.0,False,9.069288617852234,7.063704688378752,6.423076923076923
30,30,1,334,1.25,200.0,True,22.92003773465646,15.949891919711787,12.294170673076923
31,31,1,216,1.25,200.0,False,12.66704522944594,13.033417844427662,11.382468911131332
32,32,1,88,1.5,100.0,True,29.08122805030021,8.057507987220447,5.714285714285714
33,33,1,53,1.5,100.0,False,23.034298756335126,7.0797223663726,5.448957965383257
34,34,1,108,1.5,200.0,True,33.795569897869896,15.763702540679418,10.436269430051814
35,35,1,105,1.5,200.0,False,27.57742240843568,13.070955861195834,9.466323150533677
36,36,1,37,2.0,100.0,True,41.236300192843245,8.0790770609319,4.747564591274884
37,37,1,46,2.0,100.0,False,36.52415497175695,7.095407161202599,4.503869653767821
38,38,1,57,2.0,200.0,True,47.65941735434238,15.577837195484255,8.153530751708429
39,39,1,66,2.0,200.0,False,43.053807901943486,13.121439873417721,7.472160356347438
40,40,2,725,1.05,100.0,True,6.546731950261087,8.052948604438509,7.525743645213629
41,41,2,89,1.05,100.0,False,9.4113940571509,7.044990757855823,6.38195891634415
42,42,2,1000,1.05,200.0,True,7.022882601519454,15.951992651215376,14.831702934717509
43,43,2,412,1.05,200.0,False,5.289769843227143,13.016376093887796,12.327839756592292
44,44,2,173,1.1,100.0,True,9.55026669242357,8.010934244162316,7.245868659290128
45,45,2,118,1.1,100.0,False,8.807499812804132,7.033321855216804,6.413862045984672
46,46,2,625,1.1,200.0,True,12.871445228535372,15.932403279160075,13.881672717493613
47,47,2,219,1.1,200.0,False,5.246793157127638,13.033409387222946,12.349573355353701
48,48,2,109,1.25,100.0,True,17.156338599482535,8.015814637734461,6.640594336977853
49,49,2,81,1.25,100.0,False,8.326269173547107,7.049666210890372,6.4626920263350405
50,50,2,184,1.25,200.0,True,22.343861617853765,15.73608478706533,12.220035778175314
51,51,2,177,1.25,200.0,False,12.861391397873234,13.042333785617368,11.364908190032061
52,52,2,56,1.5,100.0,True,28.404896503272813,8.03056431826148,5.74949083503055
53,53,2,60,1.5,100.0,False,23.54513391815958,7.070462232243518,5.405712431028887
54,54,2,150,1.5,200.0,True,34.673667558126596,15.886398194928141,10.378001297858534
55,55,2,93,1.5,200.0,False,27.86492171497319,13.08119571803676,9.436130771823391
56,56,2,33,2.0,100.0,True,40.779345816327016,8.12237044638276,4.81012091356919
57,57,2,36,2.0,100.0,False,37.40962562998532,7.125123152709359,4.459641255605381
58,58,2,74,2.0,200.0,True,48.06080378329701,15.632903294594307,8.119604316546763
59,59,2,80,2.0,200.0,False,42.4807398358921,13.096404612949424,7.532955041466608
60,60,3,902,1.05,100.0,True,6.326680681554353,8.060586104708594,7.550618560801941
61,61,3,77,1.05,100.0,False,8.47041104227948,7.0534600410265,6.45600298284862
62,62,3,1000,1.05,200.0,True,6.4422999850625935,15.935980250078286,14.909336596807915
63,63,3,243,1.05,200.0,False,4.7943845001903185,13.029166269197749,12.404497941083307
64,64,3,428,1.1,100.0,True,9.805513517669617,8.043466642914403,7.254763433954185
